claim_id,predict,label
0,NEI,false
1,NEI,NEI
2,false,false
3,NEI,true
4,false,false
5,NEI,true
6,false,false
7,false,false
8,false,false
9,NEI,NEI
10,true,true
11,NEI,NEI
12,true,NEI
13,true,true
14,true,true
15,false,false
16,true,false
17,NEI,NEI
18,NEI,false
19,true,true
20,false,false
21,NEI,true
22,true,true
23,NEI,NEI
24,false,false
25,true,false
26,NEI,NEI
27,true,true
28,NEI,true
29,false,false
30,true,true
31,false,false
32,false,NEI
33,NEI,NEI
34,NEI,NEI
35,NEI,true
36,NEI,false
37,NEI,true
38,NEI,false
39,true,true
40,false,false
41,false,false
42,NEI,NEI
43,true,true
44,false,NEI
45,true,true
46,NEI,NEI
47,NEI,true
48,true,NEI
49,NEI,NEI
50,false,false
51,NEI,false
52,false,false
53,true,true
54,true,true
55,NEI,false
56,NEI,false
57,true,true
58,true,true
59,true,true
60,NEI,false
61,true,true
62,true,true
63,true,true
64,true,true
65,NEI,true
66,NEI,false
67,NEI,true
68,NEI,true
69,true,NEI
70,true,true
71,NEI,true
72,NEI,false
73,NEI,true
74,true,NEI
75,true,true
76,true,NEI
77,true,true
78,false,false
79,false,false
80,true,false
81,NEI,false
82,NEI,NEI
83,NEI,NEI
84,false,false
85,NEI,NEI
86,NEI,true
87,false,false
88,false,false
89,true,NEI
90,true,true
91,NEI,false
92,false,false
93,NEI,NEI
94,false,false
95,NEI,true
96,true,true
97,true,false
98,NEI,NEI
99,NEI,false
100,NEI,NEI
101,NEI,false
102,true,NEI
103,true,true
104,false,false
105,NEI,false
106,true,true
107,NEI,NEI
108,true,true
109,true,true
110,NEI,NEI
111,NEI,true
112,false,false
113,true,true
114,NEI,false
115,true,true
116,false,false
117,false,NEI
118,true,true
119,false,false
120,NEI,NEI
121,NEI,true
122,false,false
123,true,true
124,false,true
125,NEI,true
126,NEI,true
127,false,false
128,false,NEI
129,true,true
130,false,false
131,NEI,NEI
132,NEI,true
133,NEI,true
134,NEI,false
135,true,true
136,NEI,false
137,NEI,NEI
138,true,true
139,false,false
140,NEI,false
141,true,true
142,NEI,NEI
143,false,false
144,NEI,NEI
145,true,true
146,true,false
147,NEI,false
148,false,false
149,NEI,false
150,NEI,false
151,false,false
152,false,false
153,NEI,false
154,NEI,false
155,NEI,NEI
156,true,true
157,false,false
